ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry,Industry1,Industry2
490,2007,Marine Biology,Natural Sciences,Environmental Studies,Interdisciplinary,NA,NA,University of FL-Program of Fisheries & Aquatic Sciences,Graduate Assistant,Education,Education,Education,Education
491,2020,Urban Studies,Interdisciplinary,Environmental Studies,Interdisciplinary,NA,NA,Sarasota County Government,Planning and Development Services Intern,City/County/State,City/County/State,Government and Social Services,Government and Social Services
492,2010,Urban Studies,Interdisciplinary,Environmental Studies,Interdisciplinary,NA,NA,Georgia Department of Community Affairs,Multifamily Underwriter,City/County/State,City/County/State,Government and Social Services,Government and Social Services
493,2007,Foreign Languages and Literatures,Humanities,NA,NA,NA,NA,Unemployed,NA,Unemployed,NA,Unemployed,Other
494,2008,Classics,Humanities,Foreign Languages and Literatures,Humanities,NA,NA,Unknown,NA,Publishing,Publishing,Arts and Media,Arts and Media
495,2008,Foreign Languages and Literatures,Humanities,Performance Studies,Interdisciplinary,NA,NA,Univeristy of Leipzig,Translator,Education,Education,Education,Education
496,2006,French,Humanities,NA,NA,NA,NA,Boston Public Library,Librarian,Library,Library,Education,Education
497,2013,French,Humanities,NA,NA,NA,NA,TAPIF,Teaching Assistant,Education,Education,Education,Education
498,2009,English,Humanities,French,Humanities,NA,NA,"Barrasso Usdin Kupperman Freeman & Sarver, LLC",Associate,Law,NA,Government and Social Services,Government and Social Services
499,2012,English,Humanities,French,Humanities,NA,NA,Berklee College of Music,Assistant Resident Director,Education,Education,Education,Education
500,2013,English,Humanities,French,Humanities,NA,NA,Freelance Copywriter,Freelance Writer,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
501,2009,French,Humanities,Environmental Studies,Interdisciplinary,NA,NA,Freelance Director,NA,Film,Film,Arts and Media,Arts and Media
502,2006,Gender Studies,Social Sciences,French,Humanities,NA,NA,Austin Film Society,Associate Artistic Director,Film,Film,Arts and Media,Arts and Media
503,2019,Gender Studies,Social Sciences,NA,NA,NA,NA,Kansas City Art Institute,Assistant Director of Housing,Arts,NA,Arts and Media,Arts and Media
504,2019,Spanish Language and Literature,Humanities,Gender Studies,Social Sciences,NA,NA,Holochain,Events & Community Calendar,Technology,NA,STEM,STEM
505,2020,Music,Humanities,Gender Studies,Social Sciences,NA,NA,A2f Studios,Assistant Studio Manager,Music,Music,Arts and Media,Arts and Media
506,2010,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,StoryKeep,Marketing and Communications Coordinator,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
507,2008,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Notarize Inc,Software QA Engineer,Software,Software,STEM,STEM
508,2008,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Coldwell Banker,Realtor,real estate,NA,real estate,Other
509,2015,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Sarasota Key Chorale,Arts Administration,Performing Arts,Performing Arts,Arts and Media,Arts and Media
510,2010,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Unknown,Bike Mechanic,Engineering,NA,STEM,STEM
511,2002,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Chaturanga Holistic Fitness,Owner,Health & Fitness,Health & Fitness,Health and Medicine,Health and Medicine
512,2004,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Unknown,Teacher / secondary,Education,Education,Education,Education
513,2008,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Rogue Promotions LLC,Owner,Marketing,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
514,2008,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,KUOW Public Radio,Producer,Media,Media,Arts and Media,Arts and Media
515,2009,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Stanfords Restaurant,Bartender,Restaurant,Restaurant,"Business, Finance, and Retail","Business, Finance, and Retail"
516,2002,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Seeds of Change Mala,Founder/Owner,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
517,2010,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Defenders of Wildlife,Recruiting Manager,Environmental,NA,STEM,STEM
518,2002,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,National Parks Conservation Association,California Desert Field Representative,Environmental,NA,STEM,STEM
519,2007,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Park Associates,Research Analyst,Research,Research,STEM,STEM
520,2014,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,NSCAD University,Design Consultant,Education,NA,Education,Education
521,2002,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Jacksonville Library System,Librarian,Education,Education,Education,Education
522,2009,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,University of Florida,Research Coordinator,Education,Education,Education,Education
523,2007,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,UCSF Alliance Health Project,Student & Clinical Social Work intern,Non Profit,Non Profit,Government and Social Services,Government and Social Services
524,2011,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,UMass Amherst Center for Counseling & Psychological Health,NA,Psychotherapy,NA,Health and Medicine,Health and Medicine
525,2005,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Bee Hunter Wine,Founder & Proprietor,Food,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
526,2013,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,TAPIF,English Assistant,Education,Education,Education,Education
527,2009,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Business & Decision,Oracle Consultant,Business Consulting,Business Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
528,2002,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,P. Scott Russell P.A.,Law Office Manager,Law,Law,Government and Social Services,Government and Social Services
529,2013,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Trustwave,NA,Information Technology,NA,STEM,STEM
530,2004,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Castle Group,Concierge,Hospitality,Hospitality,"Business, Finance, and Retail","Business, Finance, and Retail"
531,2006,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,The Lunch Pad,Food Truck operator,Food Services,NA,Food Services,Other
532,2014,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Americorp,Tutor / Teaching,Non Profit,Non Profit,Government and Social Services,Government and Social Services
533,2016,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Manatee County - Building and Development Services Dept,GIS Systems Analyst II,Government,Government,Government and Social Services,Government and Social Services
534,2002,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,LEED AP,Designer,Architecture,Architecture,STEM,STEM
535,2004,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Ra(y)ndomness Enterprises,Lifestyle Consultant,Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
536,2006,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Habitat Suites Hotel,Front Desk Receptionist,Food and Lodging,Food and Lodging,"Business, Finance, and Retail","Business, Finance, and Retail"
537,2005,German Language and Literature,Humanities,NA,NA,NA,NA,University of Passau,University lecturer,Education,Education,Education,Education
538,2015,Psychology,Social Sciences,German Language and Literature,Humanities,NA,NA,IMG Academy,Tutor,Education,Education,Education,Education
539,2007,German Language and Literature,Humanities,NA,NA,NA,NA,Unknown,Teaching,Education,Education,Education,Education
540,2007,Humanities,Humanities,German Language and Literature,Humanities,NA,NA,Investor Management Services,Sr. Research Associate,Software,Software,STEM,STEM
541,2007,Spanish Language and Culture,Humanities,NA,NA,NA,NA,Intraespa Inc.,NA,Law,Law,Government and Social Services,Government and Social Services
542,2003,Economics,Social Sciences,Spanish Language and Culture,Humanities,NA,NA,unknown,NA,Unknown,NA,Unknown,Other
543,2005,Spanish Language and Culture,Humanities,NA,NA,NA,NA,Smithsonian National Postal Museum,Public Programs Coordinator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
544,2006,History,Social Sciences,NA,NA,NA,NA,New College of Florida,Assoc Director Prospect Management,Non Profit,Non Profit,Government and Social Services,Government and Social Services
545,2012,History,Social Sciences,NA,NA,NA,NA,Ringling College of Art & Design,Archivist,Arts,NA,Arts and Media,Arts and Media
546,2009,History,Social Sciences,NA,NA,NA,NA,Blue Sky Agency,Media Supervisor,Media,Media,Arts and Media,Arts and Media
547,2011,History,Social Sciences,NA,NA,NA,NA,Chamberlain High School,High School Teacher,Education,Education,Education,Education
548,2014,History,Social Sciences,NA,NA,NA,NA,The Boston Consulting Group,Communications Specialist,Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
549,2013,History,Social Sciences,NA,NA,NA,NA,East Bay Community Foundation,"Finance, Administrative Program Manager",Non Profit,Non Profit,Government and Social Services,Government and Social Services
550,2016,History,Social Sciences,NA,NA,NA,NA,Library of Congress,NA,Museums and Institutions,Museums and Institutions,Education,Education
551,2020,History,Social Sciences,NA,NA,NA,NA,The Guatemalan-Maya Center,Executive Administrative Assistant,Non Profit,NA,Government and Social Services,Government and Social Services
552,2003,History,Social Sciences,NA,NA,NA,NA,AMU's Washington College of Law,Student,Education,Education,Education,Education
553,2002,History,Social Sciences,NA,NA,NA,NA,Grapevine Communications,Webmaster,Software,Software,STEM,STEM
554,2017,History,Social Sciences,NA,NA,NA,NA,WSLR Community Radio Station,Production/Programming Assistant,Media,Media,Arts and Media,Arts and Media
555,2006,History,Social Sciences,NA,NA,NA,NA,State Attorney,Attorney,Law,Law,Government and Social Services,Government and Social Services
556,2002,History,Social Sciences,NA,NA,NA,NA,Library of Congress,Copyright Acquisitions Librarian,Government,Government,Government and Social Services,Government and Social Services
557,2017,History,Social Sciences,NA,NA,NA,NA,Unknown,NA,Library,Library,Education,Education
558,2012,History,Social Sciences,NA,NA,NA,NA,Asolo Theatre,Graphic Design Associate,Entertainment,Entertainment,Arts and Media,Arts and Media
559,2005,History,Social Sciences,NA,NA,NA,NA,Unknown,TEFL Teacher,Education,Education,Education,Education
560,2005,History,Social Sciences,NA,NA,NA,NA,Pennsylvania Superior Court,Deputy Law Clerk,Law,Law,Government and Social Services,Government and Social Services
561,2011,History,Social Sciences,NA,NA,NA,NA,A Better Chance for Our Children,Caseworker,Community Services,NA,Government and Social Services,Government and Social Services
562,2006,History,Social Sciences,NA,NA,NA,NA,Florida Holocaust Museum,Curatorial Affairs Department Coordinator,Museums and Institutions,NA,Education,Education
563,2017,History,Social Sciences,NA,NA,NA,NA,Freelance Virtual Assistant,NA,Information Technology,NA,STEM,STEM
564,2006,History,Social Sciences,NA,NA,NA,NA,Mote Marine Laboratory,Archivist,Marine,Marine,STEM,STEM
565,2007,History,Social Sciences,NA,NA,NA,NA,VidIQ,Co-Founder,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
566,2004,History,Social Sciences,NA,NA,NA,NA,Sarah Suski Design,"Owner, Graphic Designer",Technology,Technology,STEM,STEM
567,2010,History,Social Sciences,Economics,Social Sciences,NA,NA,JCPenney,Sales Associate,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
568,2010,History,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,Peace Corps,Development Education Specialist,Development,Development,Government and Social Services,Government and Social Services
569,2009,Political Science,Social Sciences,History,Social Sciences,NA,NA,"Kaufman Dolowich & Voluck, LLP",Partner,Law,NA,Government and Social Services,Government and Social Services
570,2018,History,Social Sciences,NA,NA,NA,NA,GMMB,Media Data Engineer,Technology,NA,STEM,STEM
571,2012,History,Social Sciences,Biology,Natural Sciences,NA,NA,New Gate School,Teacher,Education,Education,Education,Education
572,2008,English,Humanities,History,Social Sciences,NA,NA,Self Employed,Freelance Editor,Publishing,Publishing,Arts and Media,Arts and Media
573,2004,Economics,Social Sciences,History,Social Sciences,NA,NA,US Chamber of Commerce Foundation,"Senior Director, Research & Issue Networks",Non Profit,Non Profit,Government and Social Services,Government and Social Services
574,2008,History,Social Sciences,Environmental Studies,Interdisciplinary,NA,NA,Texas Sunset Advisory Commission,Policy Analyst,Government,Government,Government and Social Services,Government and Social Services
575,2007,Gender Studies,Social Sciences,History,Social Sciences,NA,NA,Roane State Community College,Physical Therapist Assistant,Healthcare,Healthcare,Health and Medicine,Health and Medicine
576,2004,Gender Studies,Social Sciences,History,Social Sciences,NA,NA,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",Associate,Law,Law,Government and Social Services,Government and Social Services
577,2015,History,Social Sciences,German Language and Literature,Humanities,NA,NA,Mortgage Originator,Mortgage Originator,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
578,2012,International and Area Studies,Interdisciplinary,History,Social Sciences,NA,NA,Classic Collectible Service,NA,Entertainment,NA,Arts and Media,Arts and Media
579,2011,Mathematics,Natural Sciences,History,Social Sciences,NA,NA,Charles Schwab,Data Scientist,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
580,2011,History,Social Sciences,Sociology,Social Sciences,NA,NA,Mawn Law Consulting,Attorney,Law,Law,Government and Social Services,Government and Social Services
581,2015,Humanities,Humanities,NA,NA,NA,NA,Sarasota Literacy Council,English Tutor,Education / Training,Education / Training,Education,Education
582,2012,Humanities,Humanities,NA,NA,NA,NA,National Alliance of Mental Illness - Miami,Director of Programs,Non Profit,Non Profit,Government and Social Services,Government and Social Services
583,2007,Humanities,Humanities,NA,NA,NA,NA,New York Life,Financial Services Representative,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
584,2007,Humanities,Humanities,NA,NA,NA,NA,Unknown,Technology & Human Rights Law,Law,Law,Government and Social Services,Government and Social Services
